"YR","DOY","HR","Time.id","Ustr","WS","std_Uz","Lm","WD","z0d","hc","zm"
2011,1,0,2011,-9999,3.438273,-9999,-9999,-9999,0.01,0.0142857142857143,2
2011,1,0,2011.000057,-9999,2.162298,-9999,-9999,-9999,0.01,0.0142857142857143,2
2011,1,1,2011.000114,-9999,3.179988,-9999,-9999,-9999,0.01,0.0142857142857143,2
2011,1,1,2011.000171,-9999,4.496101,-9999,-9999,-9999,0.01,0.0142857142857143,2
2011,1,2,2011.000228,-9999,4.931545,-9999,-9999,-9999,0.01,0.0142857142857143,2
2011,1,2,2011.000285,-9999,4.095546,-9999,-9999,-9999,0.01,0.0142857142857143,2
2011,1,3,2011.000342,0.27374,3.37876,0.32442,69.3379790940767,254.701,0.01,0.0142857142857143,2
2011,1,3,2011.000398,0.3423,4.799434,0.44548,120.606060606061,243.455,0.01,0.0142857142857143,2
2011,1,4,2011.000455,0.21634,3.980454,0.294,32.7733860342556,221.3,0.01,0.0142857142857143,2
2011,1,4,2011.000512,-9999,3.968812,-9999,-9999,-9999,0.01,0.0142857142857143,2
2011,1,5,2011.000569,-9999,4.34916,-9999,-9999,-9999,0.01,0.0142857142857143,2
2011,1,5,2011.000626,-9999,4.992571,-9999,-9999,-9999,0.01,0.0142857142857143,2
2011,1,6,2011.000683,-9999,5.066189,-9999,-9999,-9999,0.01,0.0142857142857143,2
2011,1,6,2011.00074,-9999,5.510418,-9999,-9999,-9999,0.01,0.0142857142857143,2
2011,1,7,2011.000797,0.28307,5.627023,0.40698,114.829774956722,228.767,0.01,0.0142857142857143,2
2011,1,7,2011.000854,0.29121,5.151766,0.39642,107.976125881715,229.402,0.01,0.0142857142857143,2
2011,1,8,2011.000911,0.26214,5.258999,0.38894,84.6448319863888,227.526,0.01,0.0142857142857143,2
2011,1,8,2011.000968,0.32072,5.528942,0.42221,81.4572247237004,227.84,0.01,0.0142857142857143,2
2011,1,9,2011.001025,0.28769,5.076943,0.3748,123.60248447205,233.182,0.01,0.0142857142857143,2
2011,1,9,2011.001082,0.23572,4.230143,0.32074,93.2084309133489,230.461,0.01,0.0142857142857143,2
2011,1,10,2011.001138,0.24865,4.213447,0.32626,132.138114209827,237.455,0.01,0.0142857142857143,2
2011,1,10,2011.001195,0.25069,3.470958,0.37424,170.230966638152,252.625,0.01,0.0142857142857143,2
2011,1,11,2011.001252,0.33486,4.949981,0.39005,46.9118340405469,280.713,0.01,0.0142857142857143,2
2011,1,11,2011.001309,-9999,6.903573,-9999,-9999,-9999,0.01,0.0142857142857143,2
2011,1,12,2011.001366,0.32514,6.231106,0.39251,224.099099099099,292.317,0.01,0.0142857142857143,2
