"Mean","SD","Naive SE","Time-series SE","2.5%","25%","50%","75%","97.5%"
0.00479391000577968,0.000830135201045746,1.17387107868311e-05,1.37452784089079e-05,0.00322676052683036,0.00421397833291621,0.00478487580185405,0.00535572061936391,0.00646933879767637
0.000937107344810605,0.000311846504774135,4.40973461288745e-06,6.95661753381501e-06,0.000466392168431036,0.000715835758950402,0.00088714595695932,0.00110543979413742,0.00166478819228245
0.00285002382370734,0.000571328809026722,8.07900164322722e-06,1.4332853230433e-05,0.00183487705595312,0.00245405596601747,0.00280768371935952,0.00321181993053882,0.00406589715982018
0.00289000702482014,0.000844223139082299,1.19379243968377e-05,2.12765625199472e-05,0.00140445142387452,0.00228660340386741,0.00283137593078815,0.00343950250017153,0.00465798951712516
0.00311701412426899,0.000807205570407877,1.14144692630796e-05,2.66562899456209e-05,0.00174609725709073,0.002533040724737,0.00306556583620733,0.00362765632061088,0.00486976260807897
0.000720157390528144,0.000203667781955355,2.88000940805489e-06,9.34546580548563e-06,0.000364971066451366,0.000579240886115572,0.00070619781476104,0.000841421722967425,0.00116958597527031
0.00132780942050039,0.000350081030637635,4.95039839948251e-06,2.03564815796756e-05,0.000703361113543236,0.00108134740895326,0.00131130076779018,0.0015451004391803,0.00206905716603001
0.000146039573059989,9.07613374180928e-05,1.28343080649374e-06,2.70754593157248e-06,4.00762415715586e-05,8.45849335274658e-05,0.000123754477471258,0.000181863655185344,0.000391072557482143
0.000680862031973174,0.00050790959292158,7.18220816278213e-06,1.48552913679871e-05,0.000106106426952415,0.00031647973220821,0.000541224250207324,0.00090762847090734,0.00202421825669263
0.00281396836447416,0.000759129655993471,1.07346411406097e-05,3.76419992472943e-05,0.00146261914743166,0.002291312335837,0.00276735088784958,0.00328927044744068,0.004426468502392
0.000164910973243335,5.98452635088411e-05,8.46255211689632e-07,3.47556160134961e-06,6.83441151870458e-05,0.000122723128703653,0.000158773010447489,0.000199075345939765,0.00030147217588995
0.000354657937728857,0.000278305799600092,3.93544483800685e-06,6.74173169732186e-06,5.91177916097569e-05,0.000162345336841553,0.000276483729283602,0.000457935680525398,0.00112813116617152
0.000635931302841748,0.000240328581443668,3.39841956806881e-06,1.21355471796975e-05,0.000251292974590685,0.000465700207652338,0.000604998231278591,0.000768749242335568,0.00118510096088406
0.000692515789369276,0.000249052719575714,3.52178517678827e-06,1.22252105824991e-05,0.000298706495872371,0.000515801962298384,0.000658313121197168,0.000836595288729008,0.00126520344699679
0.000679430222991093,0.000261735984924896,3.70113570135237e-06,1.0824401830149e-05,0.000273296925470121,0.000490669436344508,0.000642280500748245,0.000828153677080809,0.00128717483874103
9.92364985916224e-05,8.59570616630788e-05,1.21549488044549e-06,2.04861539870794e-06,1.64992660203945e-05,4.35527070021585e-05,7.49254613694372e-05,0.000125500840271875,0.000335570333157804
0.000312560589141272,0.000119088059787085,1.68399110198485e-06,4.94615207487008e-06,0.000117798747859387,0.000228434047272925,0.000297782310954726,0.000380782269580486,0.000587068326031184
0.000306752855367796,0.000130918051551139,1.85127572231402e-06,6.00085254756215e-06,9.92856629660084e-05,0.000212793565632703,0.000289437086904345,0.000383855760697665,0.000604462354163676
0.00149248900201758,0.000647892768976699,9.16167128717812e-06,3.18606648628408e-05,0.000389172090470922,0.00102351125674819,0.00144654345014631,0.00189809087882128,0.00288738153960006
0.00205049863816575,0.000958928805013528,1.35599452872678e-05,4.92898224147994e-05,0.000467624935403574,0.00136580906200217,0.00194275943706718,0.00265638576211572,0.0041759447787291
0.000106957518407566,8.09648250353085e-05,1.14490105201971e-06,2.21598341725213e-06,1.64921211331708e-05,5.26538771236593e-05,8.64072302430398e-05,0.000136683795576099,0.000317897942935297
0.000185488690972108,9.37568358246323e-05,1.32578931558055e-06,4.23445479987682e-06,3.77015854947547e-05,0.000117800424140062,0.000172195204343386,0.000239500064646633,0.000402456320867472
0.00175033200998711,0.00071662609873211,1.01336101694207e-05,2.14858786335745e-05,0.000529961524667735,0.00124047286862395,0.00169628545834441,0.00220923132880223,0.00330987217127341
0.000139317912533429,5.9834595007624e-05,8.46104351383794e-07,3.34902849570136e-06,4.06972771805688e-05,9.61813747104149e-05,0.000132955809071706,0.000176602013493414,0.000270306746092024
0.000507758179594257,0.000209421252295748,2.96136763050035e-06,1.07167598777025e-05,0.000178886249175088,0.000355514362073016,0.000476828986253884,0.000630572229676247,0.000991570705119666
0.000121299260779808,0.000101586683175055,1.43650900730771e-06,2.56646683838086e-06,1.85156957245714e-05,5.35969055733373e-05,9.13556122017133e-05,0.000155556554333774,0.000402894058072367
0.000405381631702168,0.000143583856588082,2.03037934546333e-06,7.94153136037524e-06,0.00016799004665553,0.000307668121536357,0.000389156983765352,0.000490174200245371,0.000723962641407861
0.00083752969658337,0.000353267760514204,4.99546105955244e-06,1.41295835584608e-05,0.000302774942958919,0.000582970487500444,0.000782747548043797,0.00103117629206494,0.00166264678294063
0.000844986756027611,0.000319885925838189,4.52341782815843e-06,1.38873035198866e-05,0.000355330435494493,0.000614440365016649,0.000799577812071224,0.0010234495806682,0.00159944980727517
0.000469675374995715,0.000236319411837874,3.34172701673683e-06,7.34053518130822e-06,0.000152159772455075,0.000298685554700937,0.000423580951923375,0.000589333675433869,0.0010445905675917
0.000646769030661183,0.000445848819460215,6.30462404160251e-06,9.52944251437594e-06,0.000126322515999573,0.000333836090364087,0.00053223181741866,0.000839851133720284,0.00178868711499545
